INSTNM,INEXPFTE,ADM_RATE_ALL,MD_EARN_WNE_4YR,MEDIAN_HH_INC,FAMINC,MD_FAMINC,STUFACR,UGDS_MEN,UGDS_WOMEN
Charter College,1964.0,,34832.0,75163.69,27562.580756,18566,25.0,0.2573,0.7427
Alaska Career College,3241.0,,34598.0,69860.72,32849.291667,23113.5,15.0,0.1325,0.8675
Empire Beauty School-Tucson,6981.0,,20446.0,59293.36,21986.05903,14099,19.0,0.0362,0.9638
Carrington College-Phoenix North,4469.0,,31978.0,53686.19,24522.548998,16832.5,38.0,0.2045,0.7955
Carrington College-Mesa,6752.0,,31978.0,53686.19,24522.548998,16832.5,21.0,0.1117,0.8883
Carrington College-Tucson,4383.0,,31978.0,53686.19,24522.548998,16832.5,30.0,0.1547,0.8453
Arizona Academy of Beauty,1220.0,,17514.0,47198.06,20075.723214,12607.5,24.0,0.0625,0.9375
Miller-Motte College-Arizona Automotive Institute,5162.0,,28122.0,52030.84,22994.267789,16310,15.0,0.902,0.098
Brookline College-Phoenix,3524.0,,32246.0,50758.42,21243.80658,15003.5,20.0,0.123,0.877
Arizona State University Campus Immersion,13199.0,0.86360587857934,55512.0,69074.33,56365.776329,35851.5,18.0,0.5032,0.4968
Arizona Western College,6883.0,,41547.0,41365.15,25140.539941,21462.5,20.0,0.4119,0.5881
University of Arizona,12902.0,0.87269322792052,54540.0,64708.31,69476.758167,43043,17.0,0.4398,0.5602
Central Arizona College,7179.0,,40942.0,49319.55,29071.803691,23659.5,15.0,0.3687,0.6313
Charles of Italy Beauty College,8895.0,,13200.0,46757.68,24964.644737,14913,18.0,0.0536,0.9464
Cochise County Community College District,2481.0,,45508.0,44599.32,25421.042007,20864,14.0,0.4179,0.5821
Empire Beauty School-Chandler,9660.0,,20963.0,53670.83,24748.90189,15061,11.0,0.0465,0.9535
Avalon Institute-Mesa,3443.0,,24384.0,66538.28,35576.540666,23353,20.0,0.0292,0.9708
Eastern Arizona College,6603.0,,42325.0,44403.48,23819.861173,18854,16.0,0.4073,0.5927
Embry-Riddle Aeronautical University-Prescott,14446.0,0.72428128523111,79837.0,66671.2,58582.5004,38662,17.0,0.7333,0.2667
The School of Architecture,22134.0,,,,,,,,
Glendale Community College,7273.0,,44916.0,60869.63,27349.886038,22267,15.0,0.4382,0.5618
Grand Canyon University,2364.0,0.82835517213314,71157.0,62877.37,45046.415322,29879,20.0,0.2923,0.7077
GateWay Community College,8002.0,,53186.0,55530.55,26670.441259,21260,11.0,0.33,0.67
Mesa Community College,6816.0,,45303.0,63155.06,29624.761367,22608.5,15.0,0.4593,0.5407
Mohave Community College,5799.0,,40821.0,44384.44,24158.018846,19727,13.0,0.3032,0.6968
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,4136.0,,41014.0,62022.22,38915.833915,26362,41.0,0.932,0.068
Dine College,8780.0,,30386.0,32363.14,18788.97948,14495,12.0,0.2353,0.7647
Northern Arizona University,6139.0,0.78354170554207,49995.0,59985.62,58604.89696,41212,21.0,0.3646,0.6354
Northland Pioneer College,7781.0,,,39948.81,19532.016035,14950,12.0,0.3096,0.6904
Ottawa University-Phoenix,1962.0,0.53168376584188,49321.0,65346.8,49555.756863,37231.5,9.0,0.2443,0.7557
Phoenix College,7423.0,,43550.0,50868.19,24648.843008,20661,12.0,0.3394,0.6606
Pima Community College,5302.0,,40146.0,50427.11,26934.137769,20576,16.0,0.4109,0.5891
Pima Medical Institute-Tucson,3037.0,,35679.0,59572.48,31765.580237,21596,20.0,0.1803,0.8197
Pima Medical Institute-Albuquerque,5853.0,,30663.0,55047.79,27960.953782,19904.5,12.0,0.1611,0.8389
Prescott College,6227.0,0.99319727891156,40699.0,62739.99,51224.864734,26676,9.0,0.3446,0.6554
Refrigeration School Inc,1964.0,,45616.0,57880.38,27944.339336,21165,34.0,0.9275,0.0725
Rio Salado College,1775.0,,48356.0,62743.54,27962.756492,21808.5,25.0,0.3575,0.6425
Roberto-Venn School of Luthiery,12881.0,,32410.0,63275.06,47177.12963,26717.5,6.0,1.0,0.0
Scottsdale Community College,8935.0,,44657.0,67477.78,30520.671356,22000,15.0,0.4265,0.5735
South Mountain Community College,7416.0,,36042.0,55144.14,25159.145901,21078,15.0,0.4071,0.5929
Arizona Christian University,4486.0,0.75941080196399,44789.0,65520.64,53447.115385,36206.5,18.0,0.6126,0.3874
Universal Technical Institute of Arizona Inc,3683.0,,47845.0,64889.67,42458.6794,28618,50.0,0.9559,0.0441
